bn_word,en_word,normalised_bn,pos,ipa_pron,roman_pron,bn_definition,bn_synonyms,en_synonyms,bn_antonyms,usage_sentences
বহন অন,carry-on,বহন অন,,,Bahana ana,,,,,"And it can be attached to purses, laptops, <b>carry-ons</b> , and suitcases.|Though the no-bags option is an appealing one, I think I'll stick to <b>carry-on</b> luggage."
বহন,carry,বহন,,ˈkarē,Bahana,,বয়ে নিয়ে যাওয়া|বহন করা|টানা|বহিয়া লইয়া যাত্তয়া|সংবাহন করা|ধারণ করা|ভারবহন করা|ঘটান|নেত্তয়া|লত্তয়া|বলপূর্বক অধিকার করা|জের টানা|আচরণ করা|দেহভঙ্গি করা|গর্ভবতী হত্তয়া|পৌঁছাইয়া দেত্তয়া|পৌঁছান|লাভ করা|প্রকাশ করা|প্রসারিত হত্তয়া|বহা|ব্যাপ্ত হত্তয়া|বহন,convey|transfer|move|take|bring|bear|lug|tote|fetch|cart,,"Now, large supermarkets <b>carry</b> as many as 20,000 different food items on their shelves.|A few newspapers did <b>carry</b> the story but wildly distorted the facts, greatly upsetting the brothers."
গাজর,carrot,গাজর,,ˈkarət,Gājara,,গাজর,,,"The club has grown a wide variety of vegetables and herbs including <b>carrots</b> , Brussels sprouts and beetroot, as well as tomatoes and cucumbers in the greenhouse.|Once grown, the plants are difficult to transplant because of their long taproots - parsley is in the <b>carrot</b> family."
বাহক,carrier,বাহক,,ˈkarēər,Bāhaka,,বহনকারী|জঙ্গী বিমান|বাহক|সংবাহক|গাড়ী|মুটে|বেয়ারা|ধারয়িতা|বরদার,bearer|conveyor|transporter|shipper|courier|hauler|porter,,"Case Slick uses an alcohol <b>carrier</b> that evaporates and leaves just a little lube on the case.|In contrast, the sea waybill is only a contract of carriage whereby the <b>carrier</b> undertakes to deliver the cargo to the person identified by the shipper as entitled to take delivery of the cargo."
বহন,carriage,বহন,,ˈkarij,Bahana,,পরিবহন|ঘোড়ার গাড়ি|বহন|রেলগাড়ির কামরা|বহনমূল্য|চক্রযুক্ত যান|সত্তয়ারি,coach|car|passenger car|flatcar|boxcar,,"Yesterday she took the child in a baby <b>carriage</b> to the Sisters of St. Barnabas.|Even as I watched, the metal gate about thirty yards away from me swung open and a <b>carriage</b> pulled by four brown horses entered."
গাড়ী - পুল,car-pool,গাড়ী  পুল,,,Gāṛī - pula,,,,,
গাড়ী পুল,car pool,গাড়ী পুল,,ˈkärˌpo͞ol,Gāṛī pula,,,,,"Apparently she was in my <b>carpool</b> to and from high school for a year.|Older kids walk with younger ones, groups of kids bike together, <b>carpools</b> help create social networks of parents who know and trust each other."
কার্পেটে আবরণ,carpeting,কার্পেটে আবরণ,,ˈkärpitiNG,Kārpēṭē ābaraṇa,,কার্পেটে আবরণ,cover|coat|overlay|overspread|blanket|carpet|rug,,"Now the seating and <b>carpeting</b> has been done, it makes you feel that you should take off your shoes when entering the theatre.|I pulled my mother's flannel robe around me and concentrated on the orange industrial <b>carpeting</b> ."
carpeted,carpeted,carpeted,,,Carpeted,,,cover|coat|overlay|overspread|blanket,,
গালিচা,carpet,গালিচা,,ˈkärpit,Gālicā,,কারপেট|গালিচা|কার্পেট|আস্তরণ|শতরঁচি|আস্তর,cover|coat|overlay|overspread|blanket|rug|mat|floor covering,,"The living room was <b>carpeted</b> in pink and 2 beige sofas with blue pillows lined the corner.|We had to rip up wooden floors, as well as floors that had <b>carpet</b> or other covering."
