entity_id,name_bn,name_en,religion,category
heri_0,বায়তুল মোকাররম জাতীয় মসজিদ,Baitul Mukarram National Mosque,Islam,Heritage Sites
heri_1,ঢাকেশ্বরী জাতীয় মন্দির,Dhakeshwari National Temple,Hinduism,Heritage Sites
heri_2,আর্মেনীয় গির্জা,Armenian Church,Christianity,Heritage Sites
heri_3,ষাট গম্বুজ মসজিদ,Sixty Dome Mosque,Islam,Heritage Sites
heri_4,কান্তজীর মন্দির,Kantajew Temple,Hinduism,Heritage Sites
heri_5,সোমপুর মহাবিহার,Somapura Mahavihara,Buddhism,Heritage Sites
heri_6,তারা মসজিদ,Star Mosque,Islam,Heritage Sites
heri_7,লালবাগ কেল্লা,Lalbagh Fort,Historical,Heritage Sites
heri_8,আহসান মঞ্জিল,Ahsan Manzil,Historical,Heritage Sites
heri_9,ময়নামতি,Mainamati,Buddhism,Heritage Sites
heri_10,মহাস্থানগড়,Mahasthangarh,Historical,Heritage Sites
heri_11,ছোট সোনা মসজিদ,Chhota Sona Mosque,Islam,Heritage Sites
heri_12,পানাম নগর,Panam Nagar,Historical,Heritage Sites
heri_13,শহীদ মিনার,Shaheed Minar,Monument,Heritage Sites
heri_14,জাতীয় স্মৃতিসৌধ,National Martyrs' Memorial,Monument,Heritage Sites
heri_15,মুজিবনগর স্মৃতিসৌধ,Mujibnagar Memorial,Monument,Heritage Sites
heri_16,রামসাগর,Ramsagar,Historical,Heritage Sites
heri_17,তাজহাট জমিদারবাড়ি,Tajhat Palace,Historical,Heritage Sites
heri_18,উত্তরা গণভবন,Uttara Gonobhaban,Historical,Heritage Sites
heri_19,পুঠিয়া রাজবাড়ী,Puthia Temple Complex,Hinduism,Heritage Sites
