entity_id,name_bn,name_en,food_type,category,summary_bn,image_url
food_0,ফুচকা,Puchka,Street Food,Food & Dining,"টক চাটনি, আলু ও মশলার মিশ্রণে ফাটাফাটি ফুচকার স্বাদে মুখে রসের স্রোত বয়ে যায়।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Fuchka_in_Dhaka.jpg/320px-Fuchka_in_Dhaka.jpg
food_1,চটপটি,Chotpoti,Street Food,Food & Dining,"মশলাদার চাটনি, আলু ও ছোলার মিশ্রণে চটপটে তীক্ষ্ণ স্বাদে ভরপুর চটপটি।",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Chotpoti_at_Dhanmondi_Lake.jpg/320px-Chotpoti_at_Dhanmondi_Lake.jpg
food_2,ঝালমুড়ি,Jhalmuri,Street Food,Food & Dining,"মশলাদার মশলা, নারিকেল ও মশলায় ভেজা ঝালমুড়ির স্বাদে তীব্র ঝাল ও মিষ্টি মিশ্রণ।",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Jhalmuri_in_Bangladesh.jpg/320px-Jhalmuri_in_Bangladesh.jpg
food_3,আলুর চপ,Potato Chop,Street Food,Food & Dining,মশলাদার মশলা ও মাখনের গন্ধে ভেজা আলুর চপের ভেতরে নরম আলুর স্বাদ।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_4,বেগুনি,Begun Bhaja,Street Food,Food & Dining,মশলাদার তেল ও লবণে ভেজা বেগুনের গন্ধে ভরা ভাজা বেগুনের স্বাদ।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_5,পিঁয়াজি,Piyaji,Street Food,Food & Dining,"মশলাদার পেঁয়াজের গন্ধে ভেজা পিঁয়াজি, তীক্ষ্ণ ও মিষ্টি স্বাদের সমন্বয়।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_6,মুড়ির মোয়া,Murir Moa,Snack,Food & Dining,মধু ও নারিকেল দিয়ে মিষ্টি মশলায় ভেজা মুড়ির মোয়ার স্বাদে গন্ধে মিষ্টি ও মশলার সুর।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_7,চানাচুর,Chanachur,Snack,Food & Dining,"মশলাদার মশলা, শুকনো ফল ও বাদাম মিশ্রণে চটপটে স্বাদে ভরা চানাচুর।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_8,সিঙ্গারা,Singara,Snack,Food & Dining,মশলাদার আলু ও মশলার ভর্তা দিয়ে ভরা সিঙ্গারার তেলভেজা ক্রিস্পি স্বাদ।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_9,সমুচা,Samosa,Snack,Food & Dining,মশলাদার আলু ও মশলার ভর্তা দিয়ে ভরা সমুচার তেলভেজা ক্রিস্পি স্বাদ।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
