entity_id,name_bn,name_en,religion,latitude,longitude,wiki_image_url,category
heri_0,বায়তুল মোকাররম জাতীয় মসজিদ,Baitul Mukarram National Mosque,Islam,23.7252,90.4163,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Baitul_Mukarram_Mosque.jpg/320px-Baitul_Mukarram_Mosque.jpg,Heritage Sites
heri_1,ঢাকেশ্বরী জাতীয় মন্দির,Dhakeshwari National Temple,Hinduism,23.7209,90.3874,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Dhakeshwari_Temple.jpg/320px-Dhakeshwari_Temple.jpg,Heritage Sites
heri_2,আর্মেনীয় গির্জা,Armenian Church of Dhaka,Christianity,23.7234,90.4043,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Armenian_Church_Dhaka.jpg/320px-Armenian_Church_Dhaka.jpg,Heritage Sites
heri_3,ষাট গম্বুজ মসজিদ,Sixty Dome Mosque,Islam,22.6611,89.8697,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Shat_Gambuj_Mosque.jpg/320px-Shat_Gambuj_Mosque.jpg,Heritage Sites
heri_4,কান্তজীর মন্দির,Kantajew Temple,Hinduism,25.6403,88.703,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Kantajew_Temple.jpg/320px-Kantajew_Temple.jpg,Heritage Sites
heri_5,সোমপুর মহাবিহার,Somapura Mahavihara,Buddhism,24.966,88.8881,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Paharpur_Buddhist_Monastery.jpg/320px-Paharpur_Buddhist_Monastery.jpg,Heritage Sites
heri_6,তারা মসজিদ,Star Mosque,Islam,23.7108,90.4038,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tara_Masjid.jpg/320px-Tara_Masjid.jpg,Heritage Sites
heri_7,লালবাগ কেল্লা,Lalbagh Fort,Historical,23.7194,90.3862,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Lalbagh_Fort.jpg/320px-Lalbagh_Fort.jpg,Heritage Sites
heri_8,আহসান মঞ্জিল,Ahsan Manzil,Historical,23.7097,90.4053,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Ahsan_Manzil.jpg/320px-Ahsan_Manzil.jpg,Heritage Sites
heri_9,ময়নামতি,Mainamati,Buddhism,23.4574,91.1687,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Mainimati_Mound.jpg/320px-Mainimati_Mound.jpg,Heritage Sites
heri_10,মহাস্থানগড়,Mahasthangarh,Historical,24.976,89.36,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Mahasthangarh.jpg/320px-Mahasthangarh.jpg,Heritage Sites
heri_11,ছোট সোনা মসজিদ,Chhota Sona Mosque,Islam,24.8023,88.2842,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Chota_Sona_Mosque.jpg/320px-Chota_Sona_Mosque.jpg,Heritage Sites
heri_12,পানাম নগর,Panam Nagar,Historical,23.6508,90.5655,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Panam_Nagar.jpg/320px-Panam_Nagar.jpg,Heritage Sites
heri_13,শহীদ মিনার,Shaheed Minar,Monument,23.7234,90.3944,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Shaheed_Minar.jpg/320px-Shaheed_Minar.jpg,Heritage Sites
heri_14,জাতীয় স্মৃতিসৌধ,National Martyrs' Memorial,Monument,23.9788,90.2622,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/National_Martyrs%27_Memorial_of_Bangladesh.jpg/320px-National_Martyrs%27_Memorial_of_Bangladesh.jpg,Heritage Sites
heri_15,মুজিবনগর স্মৃতিসৌধ,Mujibnagar Memorial,Monument,23.8048,88.9068,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Mujibnagar_Memorial.jpg/320px-Mujibnagar_Memorial.jpg,Heritage Sites
heri_16,রামসাগর,Ramsagar,Historical,25.4497,88.7059,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Ramsagar_Lake.jpg/320px-Ramsagar_Lake.jpg,Heritage Sites
heri_17,তাজহাট রাজবাড়ি,Tajhat Palace,Historical,25.7489,89.2613,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Tajhat_Palace.jpg/320px-Tajhat_Palace.jpg,Heritage Sites
heri_18,উত্তরা গণভবন,Uttara Gonobhaban,Historical,25.739,89.2519,,Heritage Sites
heri_19,পুঠিয়া রাজবাড়ী,Puthia Temple Complex,Hinduism,24.3752,88.8657,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Puthia_Shiva_Temple.jpg/320px-Puthia_Shiva_Temple.jpg,Heritage Sites
