banglish,name_bn,category
manush,মানুষ,Casual Banglish
desh,দেশ,Casual Banglish
valo,ভালো,Casual Banglish
khabar,খাবার,Casual Banglish
kothay,কোথায়,Casual Banglish
taka,টাকা,Casual Banglish
ami,আমি,Casual Banglish
tumi,তুমি,Casual Banglish
bari,বাড়ি,Casual Banglish
rasta,রাস্তা,Casual Banglish
cholo,চলো,Casual Banglish
ajke,আজকে,Casual Banglish
kalke,কালকে,Casual Banglish
jam,জ্যাম,Casual Banglish
bazar,বাজার,Casual Banglish
dokan,দোকান,Casual Banglish
koto,কত,Casual Banglish
kemon,কেমন,Casual Banglish
ki,কী,Casual Banglish
shomoy,সময়,Casual Banglish
din,দিন,Casual Banglish
rat,রাত,Casual Banglish
sokal,সকাল,Casual Banglish
bikale,বিকালে,Casual Banglish
bristi,বৃষ্টি,Casual Banglish
rod,রোদ,Casual Banglish
garam,গরম,Casual Banglish
thanda,ঠান্ডা,Casual Banglish
onek,অনেক,Casual Banglish
kom,কম,Casual Banglish
beshi,বেশি,Casual Banglish
ekhon,এখন,Casual Banglish
pore,পরে,Casual Banglish
age,আগে,Casual Banglish
notun,নতুন,Casual Banglish
sundor,সুন্দর,Casual Banglish
pagol,পাগল,Casual Banglish
valo na,ভালো না,Casual Banglish
boro,বড়,Casual Banglish
choto,ছোট,Casual Banglish
kha,খাও,Casual Banglish
kor,করো,Casual Banglish
dekh,দেখো,Casual Banglish
shunte,শুনতে,Casual Banglish
bolo,বলো,Casual Banglish
jao,যাও,Casual Banglish
acho,আছো,Casual Banglish
thako,থাকো,Casual Banglish
jiggesh,জিজ্ঞেস,Casual Banglish
bujhte,বুঝতে,Casual Banglish
chai,চাই,Casual Banglish
pabo,পাবো,Casual Banglish
dibo,দিবো,Casual Banglish
nibo,নিবো,Casual Banglish
jabo,যাবো,Casual Banglish
ashbo,আসবো,Casual Banglish
keno,কেন,Casual Banglish
ki holo,কী হলো,Casual Banglish
kothay jaccho,কোথায় যাচ্ছো,Casual Banglish
kemon acho,কেমন আছো,Casual Banglish
ki korcho,কী করছো,Casual Banglish
koto taka,কত টাকা,Casual Banglish
koto dur,কত দূর,Casual Banglish
koto shomoy,কত সময়,Casual Banglish
kobe,কবে,Casual Banglish
kara,কারা,Casual Banglish
dhaka,ঢাকা,Casual Banglish
chittagong,চট্টগ্রাম,Casual Banglish
rajshahi,রাজশাহী,Casual Banglish
sylhet,সিলেট,Casual Banglish
barisal,বরিশাল,Casual Banglish
khulna,খুলনা,Casual Banglish
gazipur,গাজীপুর,Casual Banglish
narayanganj,নারায়ণগঞ্জ,Casual Banglish
comilla,কুমিল্লা,Casual Banglish
mymensingh,ময়মনসিংহ,Casual Banglish
mobile,মোবাইল,Casual Banglish
net,নেট,Casual Banglish
app,অ্যাপ,Casual Banglish
call,কল,Casual Banglish
message,মেসেজ,Casual Banglish
photo,ফটো,Casual Banglish
video,ভিডিও,Casual Banglish
internet,ইন্টারনেট,Casual Banglish
charge,চার্জ,Casual Banglish
battery,ব্যাটারি,Casual Banglish
bill,বিল,Casual Banglish
daam,দাম,Casual Banglish
kena,কেনা,Casual Banglish
beche,বেচে,Casual Banglish
debt,ঋণ,Casual Banglish
loan,লোন,Casual Banglish
bima,বীমা,Casual Banglish
bank,ব্যাংক,Casual Banglish
atm,এটিএম,Casual Banglish
payment,পেমেন্ট,Casual Banglish
doctor,ডাক্তার,Casual Banglish
hospital,হাসপাতাল,Casual Banglish
osudh,ওষুধ,Casual Banglish
jor,জ্বর,Casual Banglish
