entity_id,name_bn,name_en,religion,category
heri_01,বায়তুল মোকাররম জাতীয় মসজিদ,Baitul Mukarram National Mosque,Islam,Heritage Sites
heri_02,ঢাকেশ্বরী জাতীয় মন্দির,Dhakeshwari National Temple,Hinduism,Heritage Sites
heri_03,আর্মেনীয় গির্জা,Armenian Church,Christianity,Heritage Sites
heri_04,ষাট গম্বুজ মসজিদ,Sixty Dome Mosque,Islam,Heritage Sites
heri_05,কান্তজীর মন্দির,Kantajew Temple,Hinduism,Heritage Sites
heri_06,সোমপুর মহাবিহার,Somapura Mahavihara,Buddhism,Heritage Sites
heri_07,তারা মসজিদ,Star Mosque,Islam,Heritage Sites
heri_08,লালবাগ কেল্লা,Lalbagh Fort,Historical,Heritage Sites
heri_09,আহসান মঞ্জিল,Ahsan Manzil,Historical,Heritage Sites
heri_10,ময়নামতি,Mainamati,Buddhism,Heritage Sites
heri_11,মহাস্থানগড়,Mahasthangarh,Historical,Heritage Sites
heri_12,ছোট সোনা মসজিদ,Chhota Sona Mosque,Islam,Heritage Sites
